,mean_fit_time,mean_score_time,mean_test_score,model_key,model_name,param_imputer__strategy,param_regressor__alpha,param_regressor__max_features,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score,training_x
10,0.1468290328979492,0.0074692249298095705,0.9562910274799012,rr,Ridge regression,median,0.0001,,"{'imputer__strategy': 'median', 'regressor__alpha': 0.0001}",1,0.9618342645732246,0.9432560906776195,0.9598356783844995,0.9527619144232685,0.9637671893408942,0.011916641487249718,0.0003841299462443188,0.007503988807107933,X_with_covar
11,0.14812860488891602,0.007860183715820312,0.9562855476362501,rr,Ridge regression,median,0.001,,"{'imputer__strategy': 'median', 'regressor__alpha': 0.001}",2,0.9618235426234439,0.9432247419963483,0.9598108070977339,0.9528059995973154,0.9637626468664084,0.009594265680648787,0.0006854487626291043,0.007505941035808163,X_with_covar
12,0.11461882591247559,0.008499908447265624,0.9562651605388586,rr,Ridge regression,mean,0.0001,,"{'imputer__strategy': 'mean', 'regressor__alpha': 0.0001}",3,0.9617795575897381,0.9432101572646885,0.9598353034155646,0.9527350728385524,0.9637657115857502,0.010885849502627805,0.0007075043660554054,0.007514085315756201,X_with_covar
13,0.114052152633667,0.0076617240905761715,0.9562591112288852,rr,Ridge regression,mean,0.001,,"{'imputer__strategy': 'mean', 'regressor__alpha': 0.001}",4,0.961771511244884,0.9431761120925743,0.9598121902177438,0.9527781584944977,0.9637575840947259,0.009550875709572563,0.0003652133927754459,0.007516913168275285,X_with_covar
14,0.14960126876831054,0.007971954345703126,0.9562416463748662,rr,Ridge regression,most_frequent,0.0001,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 0.0001}",5,0.961883029635102,0.9431318179578634,0.9597406608461846,0.9527926386406859,0.9636600847944949,0.010640491299965808,0.00038291429348964045,0.00752149973634086,X_with_covar
15,0.15203423500061036,0.008169937133789062,0.9562349608801,rr,Ridge regression,most_frequent,0.001,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 0.001}",6,0.9618614291646432,0.9430995674879494,0.9597159214696952,0.952832817157195,0.9636650691210173,0.014561010135631079,0.0004043088570567211,0.007524544928869629,X_with_covar
16,0.11158204078674316,0.007757663726806641,0.9560976627961594,rr,Ridge regression,constant,0.0001,,"{'imputer__strategy': 'constant', 'regressor__alpha': 0.0001}",7,0.9623175283680252,0.9430070240996344,0.9599472299850871,0.9521183523894937,0.963098179138556,0.017041858880969,0.00018177686671506005,0.007612001801495668,X_with_covar
17,0.114031982421875,0.007883596420288085,0.9560891738607941,rr,Ridge regression,constant,0.001,,"{'imputer__strategy': 'constant', 'regressor__alpha': 0.001}",8,0.9622976692174637,0.9429751350633888,0.9599266080226001,0.9521505300654073,0.9630959269351103,0.021930870501926904,0.00027341118321638926,0.00761389299519258,X_with_covar
18,0.12519736289978028,0.009188222885131835,0.9558725499249536,rr,Ridge regression,constant,0.01,,"{'imputer__strategy': 'constant', 'regressor__alpha': 0.01}",9,0.9619127791451704,0.9424506944559041,0.9595445525856184,0.9525752969311623,0.9628794265069135,0.03638364595665429,0.0012722776581784005,0.0076168546466980356,X_with_covar
19,0.15286760330200194,0.007918643951416015,0.9557797402478542,rr,Ridge regression,most_frequent,0.01,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 0.01}",10,0.9614449887650619,0.9425141299791135,0.9590236886512817,0.9524256567582587,0.9634902370855555,0.016802031127025926,0.0004163183114912477,0.007606527398850541,X_with_covar
20,0.011596345901489257,0.003151082992553711,-0.0015950512757646695,rr,Ridge regression,constant,100.0,,"{'imputer__strategy': 'constant', 'regressor__alpha': 100.0}",1,-0.002494236486084489,-0.002068150114354683,-0.0015928040875130556,-0.0013325915690272083,-0.0004874741218439116,0.000850727559335359,0.0003169013475624904,0.0006823450524384385,X_shuffled
21,0.012759923934936523,0.0029133319854736327,-0.001615861783537853,rr,Ridge regression,mean,100.0,,"{'imputer__strategy': 'mean', 'regressor__alpha': 100.0}",2,-0.002595640709158964,-0.0022484734210437285,-0.0018220195209643908,-0.0016668518169076219,0.0002536765503854399,0.002168963006001889,0.00020103590311536902,0.0009899938186889536,X_shuffled
22,0.015372514724731445,0.003387260437011719,-0.0016208892835307687,rr,Ridge regression,median,100.0,,"{'imputer__strategy': 'median', 'regressor__alpha': 100.0}",3,-0.002552637851214623,-0.0023313805091860207,-0.0017515519349358133,-0.001676255535310034,0.00020737941299264762,0.0009365611294462875,0.0004291380614597379,0.0009732068384582723,X_shuffled
23,0.016819524765014648,0.003113412857055664,-0.0016407686468154826,rr,Ridge regression,most_frequent,100.0,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 100.0}",4,-0.002587103771890087,-0.002294642028997762,-0.001768986326377231,-0.0016455192144408937,9.2408107628561e-05,0.001152095438014884,0.00026780809212663,0.0009320369705399686,X_shuffled
24,0.012968158721923828,0.003081226348876953,-0.0026276148390115715,rr,Ridge regression,constant,1.0,,"{'imputer__strategy': 'constant', 'regressor__alpha': 1.0}",5,0.003617457823092751,-0.0058379836899695725,-0.010536650767013489,-0.0035318781040956093,0.0031509805429280613,0.0020170271796730193,0.0001775968841326177,0.005404999660783409,X_shuffled
25,0.013625049591064453,0.0035323143005371095,-0.0028898150353302123,rr,Ridge regression,mean,10.0,,"{'imputer__strategy': 'mean', 'regressor__alpha': 10.0}",6,-0.0008279928466794484,-0.004501032633159152,-0.005901285057771322,-0.0023745489449078505,-0.0008442156941332879,0.0013707164433175707,0.0010372878258072663,0.002018220027146306,X_shuffled
26,0.015792036056518556,0.002971029281616211,-0.0029702658754290124,rr,Ridge regression,median,10.0,,"{'imputer__strategy': 'median', 'regressor__alpha': 10.0}",7,-0.0007702346465807697,-0.004584194239913186,-0.00611558197616624,-0.0023342606933758336,-0.001047057821109032,0.0007304803128111441,0.0002370474777359964,0.002070804064075143,X_shuffled
27,0.020361948013305663,0.0031194686889648438,-0.0029817008470396146,rr,Ridge regression,median,1.0,,"{'imputer__strategy': 'median', 'regressor__alpha': 1.0}",8,0.004336708478136164,-0.0035530786973996253,-0.013895149629766346,-0.0015400897634367805,-0.000256894622731485,0.0038465414403231315,0.00020412334435779264,0.006041386653878334,X_shuffled
28,0.0160062313079834,0.003023576736450195,-0.003312222562595668,rr,Ridge regression,most_frequent,10.0,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 10.0}",9,-0.0008455868054912941,-0.004748265335828394,-0.006073605131756921,-0.002177174318821473,-0.002716481221080258,0.0003768113434449926,1.3279208570289277e-05,0.0018662790123522728,X_shuffled
29,0.020790290832519532,0.0033455371856689455,-0.0033582912008521594,rr,Ridge regression,most_frequent,1.0,,"{'imputer__strategy': 'most_frequent', 'regressor__alpha': 1.0}",10,0.004030187285630316,-0.006604538288171202,-0.013118501209849587,-0.0008174269715848226,-0.0002811768202855003,0.0032923468376078384,0.0004166482758656267,0.005938249874492244,X_shuffled
30,1.5612262725830077,0.021636581420898436,0.9631668478136646,rfr,Random forest regression,constant,,0.66,"{'imputer__strategy': 'constant', 'regressor__max_features': 0.66}",1,0.9646233515042469,0.9542484178169977,0.9695691098591829,0.9607267229482043,0.9666666369396912,0.028478211280707794,0.0006741023581370634,0.005307569861835165,X
31,1.3739863395690919,0.02265753746032715,0.963051009998068,rfr,Random forest regression,constant,,0.5,"{'imputer__strategy': 'constant', 'regressor__max_features': 0.5}",2,0.9644904835796322,0.9542032566408536,0.969187873388916,0.9602436378010032,0.9671297985799356,0.03800539154317124,0.00167038202203924,0.005339171675240957,X
32,1.5523969173431396,0.02345900535583496,0.9628527070882074,rfr,Random forest regression,most_frequent,,0.66,"{'imputer__strategy': 'most_frequent', 'regressor__max_features': 0.66}",3,0.9650724836138844,0.9539022444287926,0.9676098695751804,0.9617198480794942,0.9659590897436852,0.019322194296237,0.00317711593720763,0.004870354551875346,X
